	distance	word_pos	sent_pos	sent_nr	subj_nr	token	resolved	rt_fp	spill_fp	inverse_distance	clean_token	reflexive	ana_category	multiple_drefs	word_length	num_prev_anas	target_skipped
282	?	7	63	62	39	their	0	0	300	?	their	False	P	True	5	0	1
283	?	7	164	62	40	their	0	204	148	?	their	False	P	True	5	0	0
284	?	7	12	62	41	their	0	352	420	?	their	False	P	True	5	0	0
285	?	7	24	62	42	their	0	212	156	?	their	False	P	True	5	0	0
286	?	7	196	62	43	their	0	196	396	?	their	False	P	True	5	0	0
287	?	5	152	63	1	she	0	0	188	?	she	False	O	False	3	1	1
288	?	5	85	63	2	she	0	128	176	?	she	False	O	False	3	1	0
289	?	5	85	63	3	she	0	316	340	?	she	False	O	False	3	1	0
290	?	5	47	63	4	she	0	164	168	?	she	False	O	False	3	1	0
291	?	5	117	63	5	she	0	368	0	?	she	False	O	False	3	1	0
292	?	5	71	63	6	she	0	0	176	?	she	False	O	False	3	1	1
293	?	5	76	63	7	she	0	0	148	?	she	False	O	False	3	1	1
294	?	5	16	63	8	she	0	380	196	?	she	False	O	False	3	1	0
295	?	5	22	63	10	she	0	192	76	?	she	False	O	False	3	1	0
296	?	5	32	63	11	she	0	120	136	?	she	False	O	False	3	1	0
297	?	5	186	63	12	she	0	0	332	?	she	False	O	False	3	1	1
298	?	5	105	63	13	she	0	268	172	?	she	False	O	False	3	1	0
299	?	5	172	63	14	she	0	0	220	?	she	False	O	False	3	1	1
300	?	5	158	63	15	she	0	156	340	?	she	False	O	False	3	1	0
301	?	5	99	63	16	she	0	188	360	?	she	False	O	False	3	1	0
302	?	5	111	63	17	she	0	152	200	?	she	False	O	False	3	1	0
303	?	5	63	63	18	she	0	0	0	?	she	False	O	False	3	1	1
304	?	5	103	63	19	she	0	172	0	?	she	False	O	False	3	1	0
305	?	5	97	63	20	she	0	76	0	?	she	False	O	False	3	1	0
306	?	5	107	63	21	she	0	40	148	?	she	False	O	False	3	1	0
307	?	5	69	63	22	she	0	180	164	?	she	False	O	False	3	1	0
308	?	5	2	63	23	she	0	280	260	?	she	False	O	False	3	1	0
309	?	5	118	63	24	she	0	212	168	?	she	False	O	False	3	1	0
310	?	5	106	63	25	she	0	136	124	?	she	False	O	False	3	1	0
311	?	5	149	63	27	she	0	416	0	?	she	False	O	False	3	1	0
312	?	5	97	63	28	she	0	200	204	?	she	False	O	False	3	1	0
313	?	5	35	63	29	she	0	220	220	?	she	False	O	False	3	1	0
314	?	5	135	63	30	she	0	632	284	?	she	False	O	False	3	1	0
315	?	5	61	63	31	she	0	0	164	?	she	False	O	False	3	1	1
316	?	5	77	63	32	she	0	152	128	?	she	False	O	False	3	1	0
317	?	5	160	63	33	she	0	188	132	?	she	False	O	False	3	1	0
318	?	5	126	63	34	she	0	184	0	?	she	False	O	False	3	1	0
319	?	5	151	63	35	she	0	0	272	?	she	False	O	False	3	1	1
320	?	5	122	63	36	she	0	180	0	?	she	False	O	False	3	1	0
321	?	5	170	63	37	she	0	0	284	?	she	False	O	False	3	1	1
322	?	5	196	63	38	she	0	0	188	?	she	False	O	False	3	1	1
323	?	5	4	63	39	she	0	0	0	?	she	False	O	False	3	1	1
324	?	5	122	63	40	she	0	0	0	?	she	False	O	False	3	1	1
325	?	5	124	63	41	she	0	292	188	?	she	False	O	False	3	1	0
326	?	5	51	63	42	she	0	0	0	?	she	False	O	False	3	1	1
327	?	5	135	63	43	she	0	220	176	?	she	False	O	False	3	1	0
328	?	2	181	69	1	us	0	172	172	?	us	False	O	False	2	0	0
329	?	2	61	69	2	us	0	0	192	?	us	False	O	False	2	0	1
330	?	2	63	69	3	us	0	0	348	?	us	False	O	False	2	0	1
331	?	2	4	69	4	us	0	396	160	?	us	False	O	False	2	0	0
332	?	2	98	69	5	us	0	0	0	?	us	False	O	False	2	0	1
333	?	2	88	69	6	us	0	0	244	?	us	False	O	False	2	0	1
334	?	2	135	69	7	us	0	0	368	?	us	False	O	False	2	0	1
335	?	2	174	69	8	us	0	0	164	?	us	False	O	False	2	0	1
336	?	2	148	69	10	us	0	0	224	?	us	False	O	False	2	0	1
337	?	2	46	69	11	us	0	176	148	?	us	False	O	False	2	0	0
338	?	2	38	69	12	us	0	0	0	?	us	False	O	False	2	0	1
339	?	2	41	69	13	us	0	0	116	?	us	False	O	False	2	0	1
340	?	2	141	69	14	us	0	240	220	?	us	False	O	False	2	0	0
